Recipe_ID,Source,Cuisine,Sub-Category,Dish Name,Servings,Calories per Serving,Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Image URL,Item Page Link
68,Rishi,Cocktails,Drinks,Cocktail: White Rum Daiquiri,1,140,0,0,0,0,0,0,5,0,8,0,8,0,"https://www.liquor.com/thmb/kU5L4WsnCEJY9wyui7cPGSuyvuA=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2018__04__23143458__daiquiri-720x720-recipe-09f1d5665a794eddbbfb997876736136.jpg",https://www.myfitnesspal.com/recipe/view/243556764577325
86,Rishi,Cocktails,Drinks,Cocktail: Vodka Martini,1,180,0,0,0,0,0,0,0,10,1,1,2,0,"https://www.liquor.com/thmb/lOVHtbFSI93is2OgiefCoBBmu-c=/1200x628/filters:fill(auto,1)/vodka-martini-1200x628-email-3f495e5c570f4f8581f51c640f1bf6fe.jpg",https://www.myfitnesspal.com/recipe/view/265134545981309
75,Rishi,Cocktails,Drinks,Cocktail: The French 75,1,211,0,0,0,0,0,0,0,24,4,0,3,0,"https://www.liquor.com/thmb/Q6qMc4iLGImMn9ogqSiuh25BVsc=/1200x628/filters:fill(auto,1)/french-75-1200x628-fb-b9d5c2dedab74ecd84375b8cb117033a.jpg",https://www.myfitnesspal.com/recipe/view/278740981468221
127,Rishi,Cocktails,Drinks,Cocktail: Rosemary Mezcal Negroni,1,232,0,0,0,0,0,0,2,1,12,0,12,0,"https://www.liquor.com/thmb/yZpeL6qjWx8NWgLkmLDDoh-iZmA=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__06__03081940__Rosemary-Mezcal-Negroni-720x720-article-3b190041440247cd90f9053af65a622c.jpg",https://www.myfitnesspal.com/recipe/view/230791979060285
85,Rishi,Cocktails,Drinks,Cocktail: Dry Martini,1,177,9,0,0,0,0,0,1,13,21,0,1,0,"https://www.liquor.com/thmb/z7Foq4Yj9MBP_4WNG5_9_flFbc8=/1200x628/filters:fill(auto,1)/dry-martini-1200x628-email-840e2e988cfc4a49940ceb5ad3744d36.jpg",https://www.myfitnesspal.com/recipe/view/195034371510269
216,Rishi,Cocktails,Drinks,Cocktail: Seedlip Eastside,1,64,0,0,0,0,0,0,1,48,16,0,15,0,https://www.seedlipdrinks.comfalse,https://www.myfitnesspal.com/recipe/view/88937653390781
150,Rishi,Western,Breakfast,Puy Lentil Galettes Recipe,4,199,17,2,12,2,0,0,897,104,6,2,2,4,https://www.seriouseats.com/recipes/images/20110325-144228-puy-lentil-galettes.jpg,https://www.myfitnesspal.com/recipe/view/265703604006573
190,Rishi,Italian/Western,Risotto,Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe,4,546,24,8,9,1,0,27,176,913,71,7,8,11,https://www.seriouseats.com/recipes/images/2014/09/20140929-butternut-squash-risotto-vicky-wasik-26-1500x1125.jpg,https://www.myfitnesspal.com/recipe/view/58858109037757
209,Rishi,Indian,Dal,Keerai Molagootal Recipe,4,179,6,0,1,1,0,0,583,16,18,3,0,11,https://www.subbuskitchen.com/wp-content/uploads/2017/02/keerai-molagootal_finalforweb3.jpg,https://www.myfitnesspal.com/recipe/view/243702672821565
207,Rishi,Indian,Dal,Panchmel Dal,6,191,3,1,0,0,0,2,794,305,23,7,2,11,https://www.vegrecipesofindia.com/wp-content/uploads/2010/02/rajasthani-panchmel-dal-1a.jpg,https://www.myfitnesspal.com/recipe/view/27227578994093
